repo_id,seq_index,sha,author_time_iso,minutes_since_prev_commit,minutes_since_t0,insertions,deletions,files_changed,is_merge,is_before_t0,is_during_event,is_after_t1,flag_bulk_commit,subject
agent-kali-menu-oi,0,b8521fb4b2a86963c45f9a58382df60fc30052e4,2025-11-29T07:52:53+00:00,,112.88,207,0,1,0,0,1,0,0,Initial commit
agent-kali-menu-oi,1,c2ce04575f28156732771dc08b2fddb8bc8ba7d8,2025-11-29T09:58:33+00:00,125.67,238.55,3145,0,68,0,0,1,0,1,"feat: Implement core full-stack application with user authentication, admin panel, customer menu, order flow, and Dockerization"
agent-kali-menu-oi,2,04b7e22b2e8c7039ccaea006ae2857bc8b384170,2025-11-29T10:13:16+00:00,14.72,253.27,38,5,4,0,0,1,0,0,feat: Implement order filtering in admin dashboard and add logo to admin layout.
agent-kali-menu-oi,3,ae10bb2538e6c5d35967cb81f05b62f51923ae05,2025-11-29T10:22:04+00:00,8.80,262.07,102,2,3,0,0,1,0,0,feat: Introduce a new landing page with updated routing and adjust the PostgreSQL port mapping in docker-compose.
agent-kali-menu-oi,4,5700e7a350f9c6894e9eace5edba1a9dd3685fb3,2025-11-29T10:27:42+00:00,5.63,267.70,187,37,2,0,0,1,0,0,"feat: Add multi-language support and marketing sections to the landing page, and configure Vite allowed hosts."
agent-kali-menu-oi,5,c28aa3fc0f0dab335ac774e4055c4140ed1a129c,2025-11-29T10:32:49+00:00,5.12,272.82,5,5,2,0,0,1,0,0,chore: Update landing page hero titles and Vite allowed hosts.
agent-kali-menu-oi,6,728c94105720bd7af5e9d2bb6edee076a3fc5bca,2025-11-29T10:48:03+00:00,15.23,288.05,8,7,5,0,0,1,0,0,chore: Update database connection strings for local development and adjust Vietnamese language code from 'vi' to 'vn'.
agent-kali-menu-oi,7,3d4672f5e2d5ff77333a9916165503cad134e2a2,2025-11-29T10:53:10+00:00,5.12,293.17,1,1,1,0,0,1,0,0,chore: Update frontend VITE_API_URL to menuoi.com.
agent-kali-menu-oi,8,a4743efc0bc9b3c068afed915df4a3af6f7a2753,2025-11-29T11:00:50+00:00,7.67,300.83,1,2,2,0,0,1,0,0,chore: Update Docker API URL and remove site title from landing page header.
agent-kali-menu-oi,9,261fbc3466ee28e206dcbc028f7192ad6be69039,2025-11-29T11:12:01+00:00,11.18,312.02,23,2,3,0,0,1,0,0,feat: Introduce Caddy reverse proxy for domain routing and configure backend to handle proxy headers and specific CORS origins.
